所属省份,区划名称,Province,City Name,Area/km2,Population (2010),Population density (people/km2),GDP/ 1E8 RMB,GDP year,GDP per capita/1E4 RMB,Railway1,Railway2,Longitude,Latitude
广西,梧州,Guang Xi ,Wu Zhou ,"12,554.94",304,242.28,885,2012,2.91,,,111.3059464,23.48661995
浙江,丽水,Zhe Jiang ,Li Shui ,"17,293.73",229,132.19,885,2012,3.87,,,119.9165573,28.44883728
四川,自贡,Si Chuan ,Zi Gong ,"4,373.13",280,640.39,885,2012,3.16,,,104.7763519,29.36772156
广东,阳江,Guang Dong ,Yang Jiang ,"7,813.40",242,309.96,877,2012,3.62,,,111.9578934,21.84523392
贵州,毕节,Gui Zhou ,Bi Jie ,"26,844.45",654,243.49,872,2012,1.33,,,105.2824173,27.30629539
山西,朔州,Shan Xi ,Shuo Zhou ,"10,662",153,143.17,855,2012,5.6,,,112.4232712,39.31313324
浙江,舟山,Zhe Jiang ,Zhou Shan ,"1,378.00",104,751.09,852,2012,8.23,,,122.1016083,30.02004242
江西,新余,Jiang Xi ,Xin Yu ,"3,177.68",113,354.28,830,2012,7.38,,,114.9293823,27.80654716
新疆,昌吉,Xin Jiang ,Chang Ji ,"73,139.75",135,18.51,826,2012,6.1,,,87.304012,44.014577
江西,抚州,Jiang Xi ,Fu Zhou ,"18,811.12",385,204.71,825,2012,2.14,,,116.35,28
内蒙,锡林郭勒,Nei Meng ,Xi Lin Guo Le,"201,494.00",102,5.05,820,2012,8.06,,,116.090996,43.944018
内蒙,巴彦淖尔,Nei Meng ,Ba Yan Nao Er ,"65,788.00",174,26.48,816,2012,4.68,,,107.42,40.75
河南,漯河,He Nan,Luo He ,"2,693.72",247,916.39,812,2012,3.29,,,114.0410919,33.57250977
新疆,克拉玛依,Xin Jiang ,Ke La Ma Yi ,"8,654.08",27,30.87,810,2012,30.32,,,84.86360931,45.59651184
吉林,延边,Ji Lin ,Yan Bian ,"43,509.10",218,50.11,805,2012,3.69,,,129.513228,42.904823
安徽,淮南,An Hui ,Huai Nan,"2,585.13",229,885.84,782,2012,3.41,,,117.0207291,32.6166954
内蒙,乌兰察布,Nei Meng ,Wu Lan Cha Bu ,"54,491.00",214,39.24,780,2012,3.65,,,113.12,40.98
四川,眉山,Si Chuan ,Mei Shan ,"7,139.86",302,422.99,775,2012,2.57,,,103.83146,30.050497
陕西,汉中,Shan Xi ,Han Zhong ,"27,101.39",342,126.05,772,2012,2.26,,,107.0343933,33.07814789
湖北,咸宁,Hu Bei ,Xian Ning ,"9,749.84",251,257.03,761,2012,3.04,,,114.2687378,29.89432716
安徽,宣城,An Hui ,Xuan Cheng ,"12,323.43",258,209.36,758,2012,2.94,,,118.7414932,30.95085907
四川,广安,Si Chuan ,Guang An ,"6,301.41",372,590.82,752,2012,2.02,,,106.63175,30.474428
广西,百色,Guang Xi ,Bai Se,"36,203.85",360,99.4,750,2012,2.08,,,110.1414719,22.63189697
广东,梅州,Guang Dong ,Mei Zhou ,"15,908.00",424,266.54,746,2012,1.76,,,116.1079407,24.31450081
四川,攀枝花,Si Chuan ,Pan Zhi Hua ,"7,440.40",114,153.78,740,2012,6.47,,,101.6984177,26.55479813
贵州,六盘水,Gui Zhou ,Liu Pan Shui ,"9,965.37",296,296.58,738,2012,2.5,,,104.8732529,26.5767746
广西,钦州,Guang Xi ,Qin Zhou ,"10,820.85",320,295.72,736,2012,2.3,,,108.6147003,21.94986916
江西,萍乡,Jiang Xi ,Ping Xiang ,"3,823.99",184,481.09,733,2012,3.98,,,113.841423,27.63298988
安徽,亳州,An Hui ,Bo Zhou ,"8,522.58",510,598.41,716,2012,1.4,,,115.7709,33.879292
辽宁,葫芦岛,Liao Ning ,Hu Lu Dao ,"10,414.94",279,267.6,715,2012,2.57,,,120.83,40.72
广东,潮州,Guang Dong ,Chao Zhou ,"3,100.22",267,861.18,706,2012,2.64,,,116.63666,23.667706
广西,贵港,Guang Xi ,Gui Gang ,"10,605.44",423,398.43,690,2012,1.63,,,109.60844,23.099092
四川,遂宁,Si Chuan ,Sui Ning ,"5,323.85",356,667.96,682,2012,1.92,,,105.5697098,30.50339317
云南,大理,Yun Nan,Da Li ,"28,299.43",348,122.97,672,2012,1.93,,1,100.22998,25.59157
黑龙江,佳木斯,Hei Long Jiang ,Jia Mu Si ,"32,704.00",255,78.04,660,2012,2.59,特,,130.3623199,46.81366348
吉林,白山,Ji Lin ,Bai Shan ,"17,473.73",130,74.35,654,2012,5.03,,,126.42,41.93
吉林,白城,Ji Lin ,Bai Cheng ,"25,692.29",203,78.98,650,2012,3.2,,,122.8395767,45.61641693
山东,莱芜,Shan Dong ,Lai Wu ,"2,246.21",127,564.42,630,2012,4.97,,,117.66173,36.205116
江西,景德镇,Jiang Xi ,Jing De Zhen ,"5,256.23",155,295.73,628,2012,4.04,,,117.1179428,29.19516754
山西,忻州,Shan Xi ,Xin Zhou ,"25,180",307,122.03,621,2012,2.02,,,112.7315521,38.39920807
安徽,淮北,An Hui ,Huai Bei ,"2,740.91",205,747.93,621,2012,3.03,,,116.7874985,33.9704895
安徽,铜陵,An Hui ,Tong Ling ,"1,064.47",72,676.39,621,2012,8.63,,,117.813179,30.92524719
广东,河源,Guang Dong ,He Yuan ,"15,826.00",295,186.59,615,2012,2.08,,,114.6938171,23.73484039
广东,汕尾,Guang Dong ,Shan Wei,"5,271.00",294,556.96,610,2012,2.08,,,115.3640137,22.77868652
山西,阳泉,Shan Xi ,Yang Quan ,"4,451.91",131,295.09,602,2012,4.58,,,113.5742569,37.86065674
广西,北海,Guang Xi ,Bei Hai ,"4,016.07",155,386.25,600,2012,3.87,,,109.1191711,21.47979736
吉林,辽源,Ji Lin ,Liao Yuan ,"5,130.73",123,240.5,600,2012,4.86,,,125.1372833,42.90859222
海南,三亚,Hai Nan,San Ya ,"1,919.58",61,320.2,596,2018,0,,,109.5078201,18.23404312
湖北,随州,Hu Bei ,Sui Zhou ,"9,614.94",220,228.71,591,2012,2.69,,,113.36982,31.715105
黑龙江,鸡西,Hei Long Jiang ,Ji Xi ,"22,488.46",186,82.81,582,2012,3.13,,,130.9477539,45.2970047
广西,来宾,Guang Xi ,Lai Bin ,"13,411.06",227,169.4,580,2012,2.55,,,109.23294,23.73144
甘肃,酒泉,Gan Su ,Jiu Quan ,"193,973.78",99,5.11,576,2012,5.82,,,98.51111603,39.74496841
云南,楚雄,Yun Nan,Chu Xiong ,"28,436.87",268,94.38,570,2012,2.12,,,101.54615,25.0329
海南,儋州,Hai Nan,Dan Zhou ,"3,400.00",96,280.91,566,2018,5.93,,,109.576782,19.517486
黑龙江,双鸭山,Hei Long Jiang ,Shuang Ya Shan ,"22,036.19",146,66.37,565,2012,3.86,,,131.1521606,46.6376915
内蒙,乌海,Nei Meng ,Wu Hai ,"1,754.00",48,271.95,563,2012,11.8,,,106.8148727,39.67420197
湖北,鄂州,Hu Bei ,E Zhou ,"1,593.54",103,646.99,560,2012,5.44,,,114.8811874,30.40276718
辽宁,阜新,Liao Ning ,Fu Xin ,"10,354.99",193,186.45,560,2012,2.9,,,121.6488037,42.00795364
云南,昭通,Yun Nan,Zhao Tong ,"22,439.76",525,234.06,556,2012,1.06,,,103.7149277,27.34227943
河南,鹤壁,He Nan,He Bi ,"2,136.85",142,664.06,553,2012,3.9,,,114.1546707,35.94008255
广西,崇左,Guang Xi ,Chong Zuo ,"17,345.47",215,124.17,549,2012,2.55,,,107.35506,22.420197
广东,云浮,Guang Dong ,Yun Fu ,"7,779.12",236,303.39,540,2012,2.29,,,112.03999,22.933193
宁夏,石嘴山,Ning Xia ,Shi Zui Shan ,5310,80,151.22,535,2017,6.66,,,106.3820572,39.02428055
宁夏,吴忠,Ning Xia ,Wu Zhong ,21400,144,67.19,535,2018,3.72,,,106.1991119,37.98549652
甘肃,庆阳,Gan Su ,Qing Yang ,"27,219.71",251,92.31,534,2012,2.13,,,107.63,35.73
贵州,黔南,Gui Zhou ,Qian Nan,"26,191.79",372,142.13,530,2012,1.42,,,107.517156,26.258219
青海,海西,Qing Hai ,Hai Xi ,300700,52,1.71,526,2017,10.21,,,97.370785,37.374663
甘肃,武威,Gan Su ,Wu Wei ,"32,516.91",190,58.48,520,2012,2.73,,,102.633461,37.9269104
新疆,喀什,Xin Jiang ,Ka Shi,"137,578.51",369,26.85,517,2012,1.4,,1,75.989138,39.467664
陕西,安康,Shan Xi ,An Kang ,"23,529.24",263,111.77,514,2012,1.95,,,109.0257874,32.68986511
广西,河池,Guang Xi ,He Chi ,"33,508.00",378,112.92,494,2012,1.31,,,108.0516281,24.69689178
湖北,恩施,Hu Bei ,En Shi ,"24,061.25",348,144.51,482,2012,1.39,,,109.48699,30.283114
江西,鹰潭,Jiang Xi ,Ying Tan ,"3,556.74",110,310.03,482,2012,4.37,特,,117.0302811,28.2455864
云南,文山,Yun Nan,Wen Shan ,"31,409.12",341,108.52,478,2012,1.4,,,104.244277,23.369216
贵州,黔东南,Gui Zhou ,Qian Dong Nan,"30,278.06",399,131.83,475,2012,1.19,,,107.977488,26.583352
四川,广元,Si Chuan ,Guang Yuan ,"16,313.78",248,152.02,469,2012,1.89,,,105.8317032,32.44396973
广西,防城港,Guang Xi ,Fang Cheng Gang ,"6,181.19",83,134.13,461,2012,5.56,,,108.35658,21.768936
贵州,黔西南,Gui Zhou ,Qian Xi Nan,"16,785.93",301,179.47,459,2012,1.52,,,104.897971,25.08812
新疆,阿克苏,Xin Jiang ,A Ke Su ,"127,144.91",220,17.33,456,2012,2.07,,,80.265068,41.170712
内蒙,阿拉善,Nei Meng ,A La Shan ,"267,574.00",22,0.81,455,2012,20.94,,,105.706422,38.844814
贵州,铜仁,Gui Zhou ,Tong Ren ,"18,006.41",368,204.35,447,2012,1.21,,,109.1926804,27.72216606
湖北,仙桃,Hu Bei ,Xian Tao ,"2,519.83",136,541.31,444,2012,3.26,,,113.453974,30.364953
湖北,潜江,Hu Bei ,Qian Jiang ,"1,929.51",94,486.65,442,2012,4.7,,,112.896866,30.421215
陕西,商洛,Shan Xi ,Shang Luo ,"19,586.37",234,119.56,440,2012,1.88,,,109.9302368,33.87192535
河南,济源,He Nan,Ji Yuan ,"1,893.76",68,356.59,440,2012,6.52,,,112.590047,35.090378
青海,海东,Qing Hai ,Hai Dong ,13200,147,111.42,436,2017,2.96,,,102.10327,36.502916
甘肃,白银,Gan Su ,Bai Yin ,"20,164.09",175,86.79,435,2012,2.49,,,104.1837769,36.53941727
安徽,黄山,An Hui ,Huang Shan ,"9,678.83",140,144.65,425,2012,3.04,,,118.3090668,29.72084427
西藏,拉萨,Xi Zang,La Sa ,31662,57.61,18.2,424.95,2016,7.38,,1,91.132212,29.660361
安徽,池州,An Hui ,Chi Zhou ,"8,391.73",143,170.41,417,2012,2.92,,,117.48,30.67
甘肃,天水,Gan Su ,Tian Shui ,"14,312.13",341,238.48,416,2012,1.22,,,105.7152405,34.58426666
新疆,塔城,Xin Jiang ,Ta Cheng ,"94,698.18",99,10.5,413,2012,4.15,,,82.985732,46.746301
广西,贺州,Guang Xi ,He Zhou ,"11,771.54",208,176.77,405,2012,1.95,,,111.53455,24.417259
四川,雅安,Si Chuan ,Ya An ,15314,151,98.76,398,2012,2.63,,,102.9826965,29.98229408
湖南,湘西,Hu Nan,Xiang Xi ,"15,462.30",249,160.97,398,2012,1.6,,,110.671525,31.744449
四川,巴中,Si Chuan ,Ba Zhong ,"12,301.26",313,254.73,390,2012,1.25,,,106.75476,31.849014
云南,保山,Yun Nan,Bao Shan ,"19,064.64",245,128.52,389,2012,1.59,,,99.16872406,25.11680222
内蒙,兴安盟,Nei Meng ,Xing An Meng ,"59,806.00",160,26.81,385,2012,2.4,,,122.070317,46.076268
云南,普洱,Yun Nan,Pu Er ,"44,264.79",258,58.2,366,2012,1.42,,,100.972344,22.777321
黑龙江,黑河,Hei Long Jiang ,Hei He ,"66,802.70",167,25.06,366,2012,2.19,,,127.4869385,50.24448776
黑龙江,鹤岗,Hei Long Jiang ,He Gang ,"14,679.98",106,72.12,358,2012,3.38,,,130.2761993,47.33728409
云南,临沧,Yun Nan,Lin Cang ,"23,620.72",237,100.25,352,2012,1.49,,,100.0878067,23.8799305
贵州,安顺,Gui Zhou ,An Shun ,"9,253.06",254,274.88,350,2012,1.38,,,105.9260712,26.24425888
宁夏,中卫,Ning Xia ,Zhong Wei ,17000,121,71.42,339,2016,2.79,,,105.18661,37.513252
湖南,张家界,Hu Nan,Zhang Jia Jie ,"9,516.03",149,156.16,339,2012,2.28,,,110.47,29.13
甘肃,平凉,Gan Su ,Ping Liang ,"11,196.71",219,195.62,325,2012,1.48,,,106.6830673,35.53551865
湖北,天门,Hu Bei ,Tian Men ,"2,528.35",138,544.23,321,2012,2.33,,,113.165862,30.653061
宁夏,固原,Ning Xia ,Gu Yuan ,10540,151,143.05,303,2018,2.01,,,106.2785873,36.01325989
黑龙江,七台河,Hei Long Jiang ,Qi Tai He ,"6,221.42",92,147.94,299,2012,3.25,,,130.8753967,45.80927277
甘肃,张掖,Gan Su ,Zhang Ye ,"39,436.54",128,32.34,288,2012,2.26,,,100.4502869,38.93505859
陕西,铜川,Shan Xi ,Tong Chuan ,"3,889.59",83,214.53,283,2012,3.39,,,109.0572815,35.07545853
新疆,哈密,Xin Jiang ,Ha Mi ,"142,094.88",55,3.84,275,2012,5.03,,,93.51316,42.833248
黑龙江,伊春,Hei Long Jiang ,Yi Chun ,"32,759.66",115,35.05,260,2012,2.26,,,128.9043121,47.72364426
甘肃,嘉峪关,Gan Su ,Jia Yu Guan ,"1,350.94",21,151.97,252,2012,12.27,,,98.27471161,39.80265427
新疆,吐鲁番,Xin Jiang ,Tu Lu Fan,"67,562.91",60,8.89,245,2012,4.07,,,89.184078,42.947613
甘肃,金昌,Gan Su ,Jin Chang ,"7,568.84",47,62.12,243,2012,5.17,,,102.1657486,38.49519348
云南,西双版纳,Yun Nan,Xi Shuang Ban Na ,"19,107.05",106,55.71,233,2012,2.19,,,100.797941,22.001724
甘肃,陇南,Gan Su ,Long Nan,"27,856.69",261,93.85,223,2012,0.85,,,104.92928,33.39484
西藏,日喀则,Xi Zang,Ri Ka Ze ,"18,200.00",85,46.45,216,2017,2.56,,,88.884874,29.263792
甘肃,定西,Gan Su ,Ding Xi ,"19,646.14",293,149.18,215,2012,0.73,,,104.6185684,35.57523727
云南,丽江,Yun Nan,Li Jiang ,"20,557.25",122,59.15,212,2012,1.74,,,100.2342529,26.87666512
新疆,石河子,Xin Jiang ,Shi He Zi ,459.94,64,1382.98,209,2012,3.29,,,86.041075,44.305886
四川,阿坝,Si Chuan ,A Ba ,"84,241.76",87,10.37,204,2012,2.33,,,102.221374,31.899792
云南,德宏,Yun Nan,De Hong ,"11,171.41",118,105.38,202,2012,1.71,,,98.578363,24.436694
西藏,昌都,Xi Zang,Chang Du,"110,000.00",73,6.64,194,2018,2.65,,,97.178452,31.136875
新疆,博尔塔拉,Xin Jiang ,Bo Er Ta La ,"24,934.33",47,18.97,183,2012,3.87,,,82.074778,44.903258
新疆,阿勒泰,Xin Jiang ,A Le Tai ,"117,699.01",65,5.48,180,2012,2.79,,,88.13963,47.848393
四川,甘孜,Si Chuan ,Gan Zi ,"147,681.37",97,6.56,175,2012,1.81,,,101.963815,30.050663
新疆,五家渠,Xin Jiang ,Wu Jia Qu ,710,7,102.51,165,2012,22.67,,,87.526884,44.167401
青海,海南,Qing Hai ,Hai Nan,44500,48,10.7,158,2018,3.32,,,100.901059,36.959435
甘肃,临夏,Gan Su ,Lin Xia ,"8,116.57",194,239.36,149,2012,0.77,,,110.671525,31.744449
黑龙江,大兴安岭,Hei Long Jiang ,Da Xing An Ling ,"82,975.05",51,6.17,147,2012,2.87,,,124.711526,52.335262
西藏,山南,Xi Zang,Shan Nan,"79,253.53",38,4.74,146,2017,3.89,,,91.766529,29.236023
新疆,和田,Xin Jiang ,He Tian ,"249,146.59",188,7.56,145,2012,0.77,,,79.92533,37.110687
西藏,那曲,Xi Zang,Na Qu ,"369,674.00",50,1.36,120,2017,2.38,,,92.060214,31.476004
云南,迪庆,Yun Nan,Di Qing ,"23,185.59",37,16.15,114,2012,3.03,,,99.706463,27.826853
甘肃,甘南,Gan Su ,Gan Nan,"38,311.56",68,17.75,97,2012,1.42,,,102.911008,34.986354
青海,海北,Qing Hai ,Hai Bei ,34389.89,28,8.23,83,2017,2.93,,,100.901059,36.959435
新疆,图木舒克,Xin Jiang ,Tu Mu Shu Ke ,"1,901.10",15,77.75,80,2012,5.41,,,79.077978,39.867316
新疆,阿拉尔,Xin Jiang ,A La Er ,"4,196.00",17,39.69,80,2012,4.8,,,81.285884,40.541914
青海,黄南,Qing Hai ,Huang Nan,18200,27,15.07,79,2017,2.88,,,102.019988,35.517744
云南,怒江,Yun Nan,Nu Jiang ,"14,588.92",53,36.28,74,2012,1.4,,,98.854304,25.850949
西藏,林芝,Xi Zang,Lin Zhi ,"117,000.00",23,1.97,72,2012,3.13,,,94.362348,29.654693
青海,玉树,Qing Hai ,Yu Shu ,267000,41,1.53,64,2017,1.57,,,97.008522,33.004049
新疆,克孜勒苏,Xin Jiang ,Ke Zi Le Su ,"72,468.08",50,6.9,60,2012,1.2,,,76.172825,39.713431
西藏,阿里,Xi Zang,A Li ,"337,174.95",11,0.32,47,2017,4.4,,,80.105498,32.503187
青海,果洛,Qing Hai ,Guo Luo ,76400,21,2.69,37,2017,1.81,,,100.242143,34.4736
湖北,神农架,Hu Bei ,Shen Nong Jia ,"3,215.83",7,23.01,17,2012,2.27,,,110.671525,31.744449
海南,三沙,Hai Nan Suo Shu ShengFen ,San Sha,20,1,500,10,2012,10,,,112.34882,16.831039
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,