京包—包兰线,陇海-兰新线,沪昆线,沿江线,南昆线,京沪线,京九线,京广线,焦柳线,宝成-成昆线,京哈线
北京,连云港,上海,上海,南宁,北京,北京,北京,焦作,宝鸡,北京
张家口,徐州,嘉兴,南京,百色,天津,衡水,石家庄,济源,广元,天津
大同,商丘,杭州,芜湖,昆明,沧州,聊城,邯郸,洛阳,绵阳,唐山
呼和浩特,开封,金华,铜陵,,淄博,菏泽,安阳,平顶山,成都,秦皇岛
包头,郑州,衢州,九江,,泰安,商丘,新乡,南阳,攀枝花,锦州
银川,洛阳,上饶,武汉,,徐州,阜阳,郑州,襄阳,昆明,沈阳
中卫,西安,鹰潭,荆门,,蚌埠,九江,漯河,荆门,,铁岭
兰州,咸阳,南昌,宜昌,,南京,南昌,信阳,宜昌,,四平
,宝鸡,新余,重庆,,镇江,吉安,武汉,张家界,,长春
,天水,宜春,成都,,常州,赣州,岳阳,怀化,,哈尔滨
,兰州,萍乡,,,无锡,东莞,长沙,柳州,,
,嘉峪关,长沙,,,苏州,深圳,株洲,,,
,哈密,湘潭,,,上海,,衡阳,,,
,吐鲁番,娄底,,,,,郴州,,,
,乌鲁木齐,邵阳,,,,,韶关,,,
,,怀化,,,,,广州,,,
,,铜仁,,,,,,,,
,,贵阳,,,,,,,,
,,安顺,,,,,,,,
,,曲靖,,,,,,,,
,,昆明,,,,,,,,