线路1,线路2,线路3,线路4,线路5,线路6,线路7,线路8,线路9,线路10,线路11,线路12,线路13,线路14,线路15,线路16,线路17,线路18,线路19
大连,上海,上海,上海,上海,上海,上海,大连,大连,广州,广州,重庆,珠海,广州,广州,梧州,梧州,贵港,广州
营口,宁波,青岛,烟台,秦皇岛,连云港,温州,烟台,天津,汕头,海口,宜昌,江门,佛山,佛山,桂林,贵港,柳州,中山
秦皇岛,温州,大连,天津,,,,,,,,武汉,佛山,清远,肇庆,,南宁,,
天津,福州,,,,,,,,,,黄石,广州,韶关,云浮,,百色,,
烟台,厦门,,,,,,,,,,九江,,,梧州,,,,
青岛,汕头,,,,,,,,,,安庆,,,贵港,,,,
连云港,深圳,,,,,,,,,,芜湖,,,,,,,
,广州,,,,,,,,,,马鞍山,,,,,,,
,珠海,,,,,,,,,,南京,,,,,,,
,湛江,,,,,,,,,,镇江,,,,,,,
,海口,,,,,,,,,,苏州,,,,,,,
,防城港,,,,,,,,,,南通,,,,,,,
,,,,,,,,,,,上海,,,,,,,